ID,PLOT,BLOCK,TRT,REP,CODE,EVAL,DAP,FLM,FSM,FTM,FRM,NOT,sFLM,sFSM,sFTM,sFRM,sDLM,sDSM,sDTM,sDRM,,
120,10,2,Poderosa,4,POD,E2,113,756.9,1149.7,320.9,105.7,9,99.9,100.9,105.2,101.3,10.2,9.4,17.4,16.1,,
121,11,3,Amarilis,1,AMA,E2,101,325.6,168.7,976.5,71.9,13,100.8,100.9,100.5,71.9,9.6,7.2,15.1,8.6,,
122,11,3,Amarilis,2,AMA,E2,101,908.9,425.2,1669.2,90.9,15,102.9,101.2,103.4,90.9,9,7.2,14.9,10.8,,
123,11,3,Amarilis,3,AMA,E2,101,328.4,169.4,726.4,77.5,14,101.5,100.6,101.9,77.5,8.5,7.1,19.1,8.7,,
124,11,3,Amarilis,4,AMA,E2,101,339.5,225.8,1132.2,80.7,18,102.2,103.2,102.1,80.7,8.8,6.7,17.7,8.7,,
125,12,3,Yungay,1,YUN,E2,113,616.3,412.6,370.9,102.5,7,100.6,100.3,107,102.5,9.5,7.5,14.3,11.7,,
126,12,3,Yungay,2,YUN,E2,113,248.2,250.3,316.3,55.2,5,100,100.6,114.7,55.2,11.6,7.6,15.6,6.3,,
127,12,3,Yungay,3,YUN,E2,113,488.7,335.4,652.1,66.2,15,100.3,101.1,97.8,66.2,11.7,8.7,15.1,8.4,,
128,12,3,Yungay,4,YUN,E2,113,391.5,399,345.1,116.7,7,100.1,100.5,100.7,99.7,11.4,7.7,17,11.6,,
129,13,3,Bretaña,1,BRE,E2,113,675.2,558.3,628,145.5,16,100.3,101.9,96.1,98.4,9.8,6.8,18,11.6,,
130,13,3,Bretaña,2,BRE,E2,113,334,416.6,223.7,153,8,100.4,100.9,98.8,100.5,9.1,7.1,18.8,9.6,,
131,13,3,Bretaña,3,BRE,E2,113,509.3,456.7,276,128.2,9,100.1,100.9,102.2,93.7,9.4,7.4,18.7,12.6,,
132,13,3,Bretaña,4,BRE,E2,113,472.1,343.1,580.1,120.9,17,100.5,100.6,104.7,106.18,9.3,8.8,21.1,14.2,,
133,14,3,Poderosa,1,POD,E2,113,1022.8,1527.5,1343,129.7,14,100.8,100.4,98.5,99.8,12.3,10.2,19.7,16.7,,
134,14,3,Poderosa,2,POD,E2,113,758.3,1164,1000.5,179,16,100.9,100.7,95.5,99.4,11.6,10.5,19.1,16.1,,
135,14,3,Poderosa,3,POD,E2,113,922.7,1167.4,533,153.3,8,102.6,100.7,105.5,99.7,8.1,6.7,19,14.2,,
136,14,3,Poderosa,4,POD,E2,113,1013.9,1157.1,662.8,112.6,12,100.4,101.7,92.5,99.6,9,9.2,17.2,12.5,,
137,15,3,Huevo de Indio,1,HUE,E2,113,178,204.9,267.9,43.3,6,101,101.7,109.2,43.3,11,7.3,19,3.9,,
138,15,3,Huevo de Indio,2,HUE,E2,113,567,479.3,480.9,65.2,11,101,100.9,100.6,65.2,11.4,8.1,19.2,7.1,,
139,15,3,Huevo de Indio,3,HUE,E2,113,925.4,1147,813.1,107.4,19,100.6,100.3,96.2,107.4,11,6.9,17.7,11.6,,
140,15,3,Huevo de Indio,4,HUE,E2,113,939.1,722.6,1365,140.8,25,100.5,101,103.5,100.5,9.4,7.9,17.7,9.9,,
141,16,4,Amarilis,1,AMA,E2,101,463.5,264.4,1048.1,67,19,103.1,101,102.5,67,9.4,7.3,11.4,9,,
142,16,4,Amarilis,2,AMA,E2,101,648,335.4,1410,65.9,22,103,102,101.6,65.9,8.8,7.4,15.9,8.6,,
143,16,4,Amarilis,3,AMA,E2,101,566.6,309.8,1006.6,82.2,15,102.1,102,101.1,82.2,9.8,9,13.4,8.1,,
144,16,4,Amarilis,4,AMA,E2,101,855,461.8,2049.1,177.2,32,100.6,101.3,101.6,102.8,10.4,8.2,14.9,12.5,,
145,17,4,Bretaña,1,BRE,E2,113,918,898.9,478.9,190.9,10,100.3,100.4,104.6,96.5,8.8,6.8,17.1,11,,
146,17,4,Bretaña,2,BRE,E2,113,631.5,631.8,435.7,147.7,10,100.9,100.6,108.2,100.2,8.6,7.5,20.2,12.3,,
147,17,4,Bretaña,3,BRE,E2,113,723.7,986.9,206.5,136.7,10,100,99.8,103,101.6,9.1,6.4,16.9,12.7,,
