ID,PLOT,BLOCK,TRT,CODE,EVAL,DAP,cc
243,1,3,Poderosa,POD,E13,149,33.3015635
244,1,4,Bretaña,BRE,E13,149,80.7882765
245,1,5,Amarilis,AMA,E13,149,33.9540975
246,2,6,Yungay,YUN,E13,149,70.4807375
247,2,7,Amarilis,AMA,E13,149,41.319212
248,2,8,Huevo de Indio,HUE,E13,149,73.547762
249,2,9,Bretaña,BRE,E13,149,94.166031
250,2,10,Poderosa,POD,E13,149,67.795145
251,3,11,Amarilis,AMA,E13,149,36.1421255
252,3,12,Yungay,YUN,E13,149,54.0363465
253,3,13,Bretaña,BRE,E13,149,88.5027465
254,3,14,Poderosa,POD,E13,149,49.780573
255,3,15,Huevo de Indio,HUE,E13,149,78.441555
256,4,16,Amarilis,AMA,E13,149,55.9324265
257,4,17,Bretaña,BRE,E13,149,78.6354065
258,4,18,Huevo de Indio,HUE,E13,149,64.941038
259,4,19,Poderosa,POD,E13,149,32.1419075
260,4,20,Yungay,YUN,E13,149,59.778553
261,1,1,Yungay,YUN,E14,156,41.2438065
262,1,2,Huevo de Indio,HUE,E14,156,25.437877
263,1,3,Poderosa,POD,E14,156,5.9326135
264,1,4,Bretaña,BRE,E14,156,64.916807
265,1,5,Amarilis,AMA,E14,156,
266,2,6,Yungay,YUN,E14,156,36.2668765
267,2,7,Amarilis,AMA,E14,156,
268,2,8,Huevo de Indio,HUE,E14,156,48.2653175
269,2,9,Bretaña,BRE,E14,156,72.5177385
270,2,10,Poderosa,POD,E14,156,47.052622
271,3,11,Amarilis,AMA,E14,156,
272,3,12,Yungay,YUN,E14,156,33.5060455
273,3,13,Bretaña,BRE,E14,156,77.473156
274,3,14,Poderosa,POD,E14,156,17.693214
275,3,15,Huevo de Indio,HUE,E14,156,59.8960245
276,4,16,Amarilis,AMA,E14,156,
277,4,17,Bretaña,BRE,E14,156,68.8481635
278,4,18,Huevo de Indio,HUE,E14,156,42.644867
279,4,19,Poderosa,POD,E14,156,7.441528
280,4,20,Yungay,YUN,E14,156,34.6398915
281,1,1,Yungay,YUN,E15,165,26.0681785
282,1,2,Huevo de Indio,HUE,E15,165,8.963781
283,1,3,Poderosa,POD,E15,165,1.159622
284,1,4,Bretaña,BRE,E15,165,61.673523
285,1,5,Amarilis,AMA,E15,165,
286,2,6,Yungay,YUN,E15,165,19.6736155
287,2,7,Amarilis,AMA,E15,165,
288,2,8,Huevo de Indio,HUE,E15,165,34.6925455
289,2,9,Bretaña,BRE,E15,165,62.334402
290,2,10,Poderosa,POD,E15,165,36.022804
291,3,11,Amarilis,AMA,E15,165,
292,3,12,Yungay,YUN,E15,165,29.4996965
293,3,13,Bretaña,BRE,E15,165,51.1570355
294,3,14,Poderosa,POD,E15,165,6.605482
295,3,15,Huevo de Indio,HUE,E15,165,37.338912
296,4,16,Amarilis,AMA,E15,165,
297,4,17,Bretaña,BRE,E15,165,58.784382
298,4,18,Huevo de Indio,HUE,E15,165,18.1603735
299,4,19,Poderosa,POD,E15,165,1.6907445
300,4,20,Yungay,YUN,E15,165,11.8548495
